,Bin #,Score,Bins,Threshold,High Risk Ratio,Accuracy
40,Bin 41,0,"['R_252', 'R_39', 'R_488', 'R_229', 'R_223', 'R_95', 'R_414', 'R_447', 'R_409', 'R_97', 'R_358', 'R_211', 'R_160', 'R_108', 'R_161', 'R_197', 'R_277', 'R_103', 'R_271', 'R_456', 'R_84', 'R_213', 'R_408', 'R_466', 'R_253', 'R_327', 'R_51', 'R_166', 'R_487']",0,1.0,0.5
41,Bin 42,0,"['R_27', 'R_78', 'R_484', 'R_30', 'R_351', 'R_105', 'R_90', 'R_8', 'R_48', 'R_198', 'R_218', 'R_291', 'R_355', 'R_229', 'R_257', 'R_292', 'R_54', 'R_182', 'R_419', 'R_75', 'R_203', 'R_3', 'R_235', 'R_245']",0,1.0,0.5
42,Bin 43,0,"['R_152', 'R_477', 'R_327', 'R_450', 'R_58', 'R_323', 'R_306', 'R_43', 'R_342', 'P_8', 'R_56', 'R_151', 'R_76', 'R_479', 'R_47', 'R_320', 'R_212', 'R_347', 'R_364', 'R_209', 'R_218', 'R_248']",0,1.0,0.5
43,Bin 44,0,"['R_234', 'R_81', 'R_458', 'R_363', 'R_93', 'R_297', 'R_26', 'R_75', 'R_216', 'R_95', 'R_226', 'R_252', 'R_53', 'R_375', 'R_321', 'R_180', 'R_413', 'R_268', 'R_73', 'R_11', 'R_187', 'R_129', 'R_85', 'R_197']",0,1.0,0.5
44,Bin 45,0,"['R_207', 'R_453', 'R_481', 'R_324', 'R_137', 'P_7', 'R_48', 'R_320', 'R_442', 'R_297', 'R_340', 'R_113', 'R_3', 'R_488', 'R_428', 'R_406', 'R_162', 'R_185', 'R_206']",0,1.0,0.5
45,Bin 46,0,"['R_425', 'R_1', 'R_17', 'R_240', 'R_26', 'R_471', 'R_209', 'R_478', 'R_260', 'R_67', 'R_417', 'R_224', 'R_192', 'R_231', 'R_419', 'R_323', 'R_290', 'R_404', 'R_475', 'R_190', 'P_3', 'R_409']",0,1.0,0.5
46,Bin 47,0,"['R_292', 'R_372', 'R_92', 'R_246', 'R_424', 'R_76', 'P_7', 'R_487', 'R_468', 'R_167', 'R_299', 'R_289', 'R_349', 'R_448', 'R_67', 'R_158']",0,1.0,0.5
47,Bin 48,0,"['R_385', 'R_74', 'R_258', 'R_349', 'R_80', 'R_205', 'R_250', 'R_433', 'R_156', 'R_356', 'R_14', 'R_232', 'R_64', 'R_101', 'R_152', 'R_450', 'R_55', 'R_379', 'R_242']",0,1.0,0.5
48,Bin 49,0,"['R_245', 'R_313', 'R_297', 'R_316', 'R_194', 'R_9', 'R_242', 'R_40', 'R_309', 'R_4', 'R_243', 'R_14', 'P_1', 'R_270', 'R_337', 'R_203', 'R_365', 'R_443', 'R_10', 'R_202', 'R_281', 'R_241']",0,1.0,0.5
49,Bin 50,0,"['R_114', 'R_185', 'R_10', 'R_117', 'R_249', 'R_265', 'R_455', 'R_190', 'R_366', 'R_270', 'R_484', 'R_315', 'R_41', 'R_80', 'R_158', 'R_68', 'R_337', 'R_84', 'R_222', 'R_447', 'R_32', 'R_367', 'R_152']",0,1.0,0.5
